poc_filename,v8_version_tested,issue_report_date,flags_used
00.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
01.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
02.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
03.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
04.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
05.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
06.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
07.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
08.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
09.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
10.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
11.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
12.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
13.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
14.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
15.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
16.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
17.js,13.7.5,2025-03-31,--allow-natives-syntax
18.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
19.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
351177445.js,13.7.5,2025-03-31,--allow-natives-syntax
DivI.js,13.7.5,2025-03-31,--allow-natives-syntax --no-use-osr
MathExp.js,13.7.5,2025-03-31,--allow-natives-syntax
MulI.js,13.7.5,2025-03-31,--allow-natives-syntax --no-use-osr
StoreKeyed.js,13.7.5,2025-03-31,--allow-natives-syntax --no-use-osr
StoreKeyedExternal.js,13.7.5,2025-03-31,--allow-natives-syntax --no-use-osr
Uint8Clamped-typed-array.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
adapter-frame.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
add-double-property.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
add-getters.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
add-number.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
add-smi.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
add.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
aggregate-error.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
alias-materialized-objects.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev --no-always-turbofan
and.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
anyfunc.js,13.7.5,2025-03-31,--expose-gc
api-call-no-prof.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
api-call-prof.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
api-setter-poly.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev --no-always-turbofan
api-setter.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev --no-always-turbofan
argument-over-under-application.js,13.7.5,2025-03-31,--maglev --allow-natives-syntax
arguments-forwarding.js,13.7.5,2025-03-31,--allow-natives-syntax
array-buffer-detached.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
array-bulk-operations.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-concat-array-proto-getter.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-concat-array-proto.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-concat-object-proto-dict-getter.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-concat-object-proto-dict.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-concat-object-proto-generic-dict.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-concat-object-proto.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-constructor-2.js,13.7.5,2025-03-31,--allow-natives-syntax
array-constructor.js,13.7.5,2025-03-31,--allow-natives-syntax
array-copy-benchmark.js,13.7.5,2025-03-31,--no-liftoff
array-copy-errors.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-destruct.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
array-double-load.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
array-fill-gc.js,13.7.5,2025-03-31,--expose-gc
array-findlast-unscopables.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-flat-species.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-flat.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-flatMap-species.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-flatMap.js,13.7.5,2025-03-31,--allow-natives-syntax
array-foreach-with-transition.js,13.7.5,2025-03-31,--allow-natives-syntax --maglev
array-foreach.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
array-from-async.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-holey-double-load.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
array-init-from-segment.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-iterator-2.js,13.7.5,2025-03-31,--allow-natives-syntax
array-iterator.js,13.7.5,2025-03-31,--allow-natives-syntax
array-load-hole.js,13.7.5,2025-03-31,--allow-natives-syntax --turbolev --turbofan
array-new-unreachable.js,13.7.5,2025-03-31,--wasm-staging
array-next-1.js,13.7.5,2025-03-31,--allow-natives-syntax
