poc_filename,v8_version_tested,issue_report_date,flags_used
after.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
assertions.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
bad-imports.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
basic.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
basic.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
buffer.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
call.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
casts.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
compile.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constants.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constructor-bad-imports.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constructor-caching.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constructor-shared.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constructor-types.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constructor.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
constructor.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
customSections.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
default-value.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
error-interfaces-no-symbol-tostringtag.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
exported-object.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
exports.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
get-set.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
getArg.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
grow.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
helper.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
i31.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
identity.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
idlharness.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
imports.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
instanceTestFactory.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
instantiate-bad-imports.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
instantiate.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
interface.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
is.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
js-promise-integration.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
jsTag.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
length.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
limits.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
moduleSource.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
multi-value.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
notraps.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
polyfill.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
prototypes.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
rejects.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
report.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
table.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
testharness-additions.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
testharness.js,13.7.5,2025-03-31,--this
to-fixed-length-buffer-shared.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
to-fixed-length-buffer.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
to-resizable-buffer-shared.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
to-resizable-buffer.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
toString.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
toString.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
toStringTag.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
type.tentative.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
validate.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
value-get-set.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
valueOf.any.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
wasm-module-builder.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
