poc_filename,v8_version_tested,issue_report_date,flags_used,crashed,log_file,,,,,
exploit-worker_40061453.js,9.7.84,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-9.7.84.log,,,,,
exploit-worker_40061453.js,9.8.123,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-9.8.123.log,,,,,
exploit-worker_40061453.js,9.9.47,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-9.9.47.log,,,,,
exploit-worker_40061453.js,10.0.53,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.0.53.log,,,,,
exploit-worker_40061453.js,10.1.42,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.1.42.log,,,,,
exploit-worker_40061453.js,10.2.51,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.2.51.log,,,,,
exploit-worker_40061453.js,10.3.91,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.3.91.log,,,,,
exploit-worker_40061453.js,10.4.101,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.4.101.log,,,,,
exploit-worker_40061453.js,10.5.111,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.5.111.log,,,,,
exploit-worker_40061453.js,10.6.68,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.6.68.log,,,,,
exploit-worker_40061453.js,10.7.81,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.7.81.log,,,,,
exploit-worker_40061453.js,10.8.92,10/24/2022,#NAME?,FALSE,reproduce_logs/exploit-worker_40061453.js-10.8.92.log,,,,,
exploit_365376497.js,11.9.168,9/8/2024,#NAME?,FALSE,reproduce_logs/exploit_365376497.js-11.9.168.log,,,,,
exploit_365376497.js,12.1.22,9/8/2024,#NAME?,FALSE,reproduce_logs/exploit_365376497.js-12.1.22.log,,,,,
exploit_365376497.js,12.1.271,9/8/2024,#NAME?,FALSE,reproduce_logs/exploit_365376497.js-12.1.271.log,,,,,
exploit_365376497.js,12.2.156,9/8/2024,#NAME?,FALSE,reproduce_logs/exploit_365376497.js-12.2.156.log,,,,,
exploit_365376497.js,12.3.91,9/8/2024,#NAME?,FALSE,reproduce_logs/exploit_365376497.js-12.3.91.log,,,,,
