poc_filename,v8_version_tested,issue_report_date,flags_used,crashed,log_file
poc_code_41484431.js,11.1.92,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,FALSE,reproduce_logs/poc_code_41484431.js-11.1.92.log
poc_code_41484431.js,11.2.31,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,FALSE,reproduce_logs/poc_code_41484431.js-11.2.31.log
poc_code_41484431.js,11.3.43,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,FALSE,reproduce_logs/poc_code_41484431.js-11.3.43.log
poc_code_41484431.js,11.4.45,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.4.45.log
poc_code_41484431.js,11.5.10,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.5.10.log
poc_code_41484431.js,11.6.41,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.6.41.log
poc_code_41484431.js,11.7.68,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.7.68.log
poc_code_41484431.js,11.7.359.1,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.7.359.1.log
poc_code_41484431.js,11.8.149,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.8.149.log
poc_code_41484431.js,11.9.168,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-11.9.168.log
poc_code_41484431.js,12.1.22,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-12.1.22.log
poc_code_41484431.js,12.1.271,2023-12-15,--turboshaft-wasm --allow-natives-syntax --wasm-tiering-budget=1000 ,TRUE,reproduce_logs/poc_code_41484431.js-12.1.271.log
poc_code_41485059.js,11.1.92,2023-12-18,--turboshaft-wasm --allow-natives-syntax,FALSE,reproduce_logs/poc_code_41485059.js-11.1.92.log
poc_code_41485059.js,11.2.31,2023-12-18,--turboshaft-wasm --allow-natives-syntax,FALSE,reproduce_logs/poc_code_41485059.js-11.2.31.log
poc_code_41485059.js,11.3.43,2023-12-18,--turboshaft-wasm --allow-natives-syntax,FALSE,reproduce_logs/poc_code_41485059.js-11.3.43.log
poc_code_41485059.js,11.4.45,2023-12-18,--turboshaft-wasm --allow-natives-syntax,TRUE,reproduce_logs/poc_code_41485059.js-11.4.45.log
poc_code_41485059.js,11.5.10,2023-12-18,--turboshaft-wasm --allow-natives-syntax,TRUE,reproduce_logs/poc_code_41485059.js-11.5.10.log
poc_code_41485059.js,11.6.41,2023-12-18,--turboshaft-wasm --allow-natives-syntax,TRUE,reproduce_logs/poc_code_41485059.js-11.6.41.log
poc_code_41485059.js,11.7.68,2023-12-18,--turboshaft-wasm --allow-natives-syntax,TRUE,reproduce_logs/poc_code_41485059.js-11.7.68.log
poc_code_41485059.js,11.7.359.1,2023-12-18,--turboshaft-wasm --allow-natives-syntax,TRUE,reproduce_logs/poc_code_41485059.js-11.7.359.1.log
poc_code_41485059.js,11.8.149,2023-12-18,--turboshaft-wasm --allow-natives-syntax,TRUE,reproduce_logs/poc_code_41485059.js-11.8.149.log
