poc_filename,v8_version_tested,issue_report_date,flags_used,crashed,log_file
oob_poc_40948927.js,11.1.92,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.1.92.log
oob_poc_40948927.js,11.2.31,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.2.31.log
oob_poc_40948927.js,11.3.43,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.3.43.log
oob_poc_40948927.js,11.4.45,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.4.45.log
oob_poc_40948927.js,11.5.10,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.5.10.log
oob_poc_40948927.js,11.6.41,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.6.41.log
oob_poc_40948927.js,11.7.68,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.7.68.log
oob_poc_40948927.js,11.7.359.1,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.7.359.1.log
oob_poc_40948927.js,11.8.149,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.8.149.log
oob_poc_40948927.js,11.9.168,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.9.168.log
oob_poc_40948927.js,12.1.22,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-12.1.22.log
oob_poc_40948927.js,12.1.271,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-12.1.271.log
osr-deoptdata-confusion_395659804.js,12.4.126,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-12.4.126.log
osr-deoptdata-confusion_395659804.js,12.5.129,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-12.5.129.log
osr-deoptdata-confusion_395659804.js,12.6.144,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-12.6.144.log
osr-deoptdata-confusion_395659804.js,12.7.173,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-12.7.173.log
osr-deoptdata-confusion_395659804.js,12.8.168,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-12.8.168.log
osr-deoptdata-confusion_395659804.js,12.9.73.1,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-12.9.73.1.log
osr-deoptdata-confusion_395659804.js,13.0.136,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-13.0.136.log
osr-deoptdata-confusion_395659804.js,13.1.122,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-13.1.122.log
osr-deoptdata-confusion_395659804.js,13.2.113,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-13.2.113.log
osr-deoptdata-confusion_395659804.js,13.3.206,2025-02-11,--sandbox-testing,FALSE,reproduce_logs/osr-deoptdata-confusion_395659804.js-13.3.206.log
osr-deoptdata-confusion_395659804.js,13.3.410,2025-02-11,--sandbox-testing,TRUE,reproduce_logs/osr-deoptdata-confusion_395659804.js-13.3.410.log
osr-deoptdata-confusion_395659804.js,13.4.111,2025-02-11,--sandbox-testing,TRUE,reproduce_logs/osr-deoptdata-confusion_395659804.js-13.4.111.log
poc-full_325893559.js,11.3.43,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.3.43.log
poc-full_325893559.js,11.4.45,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.4.45.log
poc-full_325893559.js,11.5.10,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.5.10.log
poc-full_325893559.js,11.6.41,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.6.41.log
poc-full_325893559.js,11.7.68,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.7.68.log
poc-full_325893559.js,11.7.359.1,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.7.359.1.log
poc-full_325893559.js,11.8.149,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.8.149.log
poc-full_325893559.js,11.9.168,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-11.9.168.log
poc-full_325893559.js,12.1.22,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-12.1.22.log
poc-full_325893559.js,12.1.271,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-12.1.271.log
poc-full_325893559.js,12.2.156,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-12.2.156.log
poc-full_325893559.js,12.3.91,2024-02-19,--wasm-wrapper-tiering-budget=1,FALSE,reproduce_logs/poc-full_325893559.js-12.3.91.log
poc-new_40067712.js,10.6.68,2023-07-19,--experimental-wasm-gc,FALSE,reproduce_logs/poc-new_40067712.js-10.6.68.log
poc-new_40067712.js,10.7.81,2023-07-19,--experimental-wasm-gc,FALSE,reproduce_logs/poc-new_40067712.js-10.7.81.log
