ref_name,date
4.10.122,2016-01-31
5.1.10,2016-02-29
5.1.239,2016-03-31
5.2.188,2016-04-30
5.3.90,2016-05-31
5.3.332.5,2016-06-30
5.4.303,2016-07-31
5.5.49,2016-08-31
5.5.339,2016-09-30
5.6.184,2016-10-31
5.7.97,2016-11-30
5.7.370,2016-12-30
5.7.492.32,2017-01-31
5.8.297,2017-02-28
5.9.153,2017-03-31
6.0.124,2017-04-30
6.1.45,2017-05-31
6.1.344,2017-06-30
6.2.102,2017-07-31
6.2.414.2,2017-08-31
6.3.239,2017-09-30
6.4.180,2017-10-31
6.4.388.2,2017-11-30
6.5.116,2017-12-29
6.5.254.10,2018-01-31
6.6.353,2018-02-28
6.7.213,2018-03-30
6.8.117,2018-04-30
6.9.53,2018-05-31
6.9.255,2018-06-30
7.0.112,2018-07-31
7.1.3,2018-08-31
7.1.218,2018-09-30
7.2.211,2018-10-31
7.1.302.28,2018-11-30
7.3.258,2018-12-31
7.4.46,2019-01-31
7.4.256,2019-02-28
7.5.149,2019-03-31
7.6.75,2019-04-30
7.6.296.1,2019-05-29
7.7.166,2019-06-28
7.8.45,2019-07-31
7.8.242,2019-08-31
7.9.162.1,2019-09-30
8.0.131,2019-10-31
8.0.418,2019-11-29
8.1.81,2019-12-31
